"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SRD5A3",4.48167207023148e-13,1.38152666002795,0.082,0.033,8.21938657680453e-09
"TINF2",4.60384232845717e-13,-0.76668460496401,0.132,0.189,8.44344683039044e-09
"STARD3NL",4.65228557981355e-13,0.46033732559585,0.168,0.105,8.53229175337806e-09
"SUMF2",4.65577353578624e-13,-0.75899240580806,0.149,0.218,8.53868866463196e-09
"MTRNR2L8",4.83527189494841e-13,1.09779159200999,0.118,0.057,8.86788865533538e-09
"DGKD",4.84078713348411e-13,-1.10805763173299,0.069,0.121,8.87800360280986e-09
"SIDT1",4.89620863386169e-13,-2.05135585126369,0.018,0.061,8.97964663450234e-09
"TMEM259",4.94212529599784e-13,-0.725127667597825,0.152,0.213,9.06385779286004e-09
"CENPH",4.95084702069466e-13,-2.14494408831807,0.015,0.056,9.079853435954e-09
"NUDT16L1",4.98161693266551e-13,-0.699744611880667,0.137,0.188,9.13628545450854e-09
"ADA",4.99374925492191e-13,-1.2527423595108,0.058,0.114,9.15853613352679e-09
"LPAR6",5.02456752586483e-13,0.333514287027323,0.203,0.138,9.21505684243609e-09
"RP11-70C1.1",5.23409392583891e-13,3.14940738507525,0.026,0.003,9.59932825998856e-09
"PPP2R1A",5.28167348238055e-13,-0.587611085470065,0.2,0.257,9.68658916668592e-09
"DLGAP1-AS1",5.32319627460838e-13,-2.04490293825528,0.018,0.058,9.76274196763176e-09
"CNOT4",5.4257935619013e-13,-0.692505397299112,0.122,0.161,9.95090539252697e-09
"MIR3945HG",5.4260586079072e-13,4.62061211119476,0.018,0.001,9.95139148690181e-09
"ZNF791",5.53152896087422e-13,-0.976730068166895,0.092,0.148,1.01448241142433e-08
"SLC39A11",5.56967457418072e-13,1.6522219090534,0.052,0.016,1.02147831690474e-08
